title,bestRating,ratingValue,ratingCount,country,date,budget,actors,link,ratingValue_qcut
Дикая,10.0,7.187,106512.0,США,2014.0,"(15000000, '$')","['Риз Уизерспун', 'Лора Дерн', 'Томас Садоски', 'Кин МакРей', 'Михил Хёйсман', 'У. Эрл Браун', 'Габи Хоффманн', 'Кевин О. Ранкин', 'Брайан Ван Холт', 'Клифф Де Янг']",/film/673428/,
99 франков,10.0,7.315,97017.0,Франция,2007.0,"(12500000, '€')","['Жан Дюжарден', 'Жослин Киврен', 'Патрик Милле', 'Ваина Джоканте', 'Элиза Товати', 'Николя Марье', 'Доминик Беттенфельд', 'Антуан Баслер', 'Фоско Перинти', 'Сендрин Орсье']",/film/262771/,
Воды слонам!,10.0,7.553,96068.0,США,2011.0,"(38000000, '$')","['Риз Уизерспун', 'Роберт Паттинсон', 'Кристоф Вальц', 'Пол Шнайдер', 'Джим Нортон', 'Хэл Холбрук', 'Марк Повинелли', 'Ричард Брэйк', 'Стивен Монро Тейлор', 'Кен Фори']",/film/462342/,
Трудности перевода,10.0,7.224,95234.0,Япония,2003.0,"(4000000, '$')","['Билл Мюррей', 'Скарлетт Йоханссон', 'Джованни Рибизи', 'Анна Фэрис', 'Акико Такэсита', 'Кадзуёси Минамимагоэ', 'Кадзуко Сибата', 'Такэ', 'Рюитиро Баба', 'Акира Ямагути']",/film/5930/,
Нелюбовь,10.0,7.453,107808.0,Германия,2017.0,,['Андрис Кейшс'],/film/963346/,
Рок-волна,10.0,7.892,100979.0,США,2009.0,"(50000000, '$')","['Том Стёрридж', 'Билл Найи', 'Филип Сеймур Хоффман', 'Рис Иванс', 'Ник Фрост', 'Кеннет Брана', 'Джек Девенпорт', 'Талула Райли', 'Крис О’Дауд', 'Риз Дэрби']",/film/416824/,
Класс,10.0,7.806,100902.0,Эстония,2007.0,"(100000, '€')","['Валло Кирс', 'Пярт Уусберг', 'Лаури Педайя', 'Паула Солвак', 'Микк Мяги', 'Риина Риес', 'Йонас Паас', 'Кади Метсла', 'Трийн Тенсо', 'Вирго Эрнитс']",/film/320230/,
Голгофа,10.0,7.73,98517.0,Великобритания,2013.0,"(7000000, '$')","['Брендан Глисон', 'Келли Райлли', 'Крис О’Дауд', 'Эйдан Гиллен', 'Дилан Моран', 'Исаак Де Банколе', 'М. Эммет Уолш', 'Мари-Жозе Кроз', 'Донал Глисон', 'Дэвид Уилмот']",/film/666951/,
Воровка книг,10.0,7.808,101672.0,США,2013.0,"(19000000, '$')","['Софи Нелисс', 'Джеффри Раш', 'Эмили Уотсон', 'Бен Шнетцер', 'Нико Лирш', 'Роджер Аллам', 'Барбара Ауэр', 'Карина Визе', 'Оливер Штоковски', 'Райнер Бок']",/film/757898/,
Артист,10.0,7.949,100412.0,Бельгия,2011.0,"(15000000, '$')","['Жан Дюжарден', 'Беренис Бежо', 'Джон Гудман', 'Джеймс Кромуэлл', 'Пенелопа Энн Миллер', 'Мисси Пайл', 'Бет Грант', 'Эд Лотер', 'Джоэль Мюррей', 'Битси Таллок']",/film/539550/,
